state_id,age_range_id,gender_id,Population,Deaths,Probability
18,6,2,2920519,1888,0.00064646
18,7,1,2659555,6038,0.002270305
18,7,2,2695952,2385,0.00088466
18,8,1,2516698,6150,0.002443678
18,8,2,2559514,3016,0.001178349
18,9,1,2496699,7494,0.003001563
18,9,2,2572918,4236,0.00164638
18,10,1,2606563,10566,0.004053614
18,10,2,2715085,6464,0.002380773
18,11,1,2659874,15586,0.005859676
18,11,2,2776480,9837,0.003542975
18,12,1,2553742,22014,0.008620291
18,12,2,2687974,13906,0.005173413
18,13,1,2210717,27641,0.012503183
18,13,2,2362344,17678,0.007483245
18,14,1,1763914,31042,0.017598364
18,14,2,1949003,21007,0.010778331
18,15,1,1355106,33956,0.025057818
18,15,2,1569587,25415,0.016192158
18,16,1,1025408,38959,0.037993657
18,16,2,1288820,32301,0.02506246
18,17,1,754094,43175,0.057254135
18,17,2,1057681,41765,0.039487331
18,18,1,483206,43470,0.089961631
18,18,2,794392,51688,0.065066113
19,1,2,110863,599,0.005403065
19,1,1,118086,746,0.00631743
19,4,2,694682,76,0.000109403
19,4,1,732674,130,0.000177432
19,2,2,461593,94,0.000203643
19,2,1,485924,133,0.000273705
19,3,2,629348,77,0.000122349
19,3,1,661853,93,0.000140515
19,5,2,737180,268,0.000363548
19,5,1,783451,575,0.000733932
19,6,2,647383,328,0.000506655
19,6,1,667524,838,0.001255386
19,7,1,607014,856,0.001410182
19,7,2,621388,321,0.000516585
19,8,1,645703,973,0.001506885
19,8,2,662655,418,0.000630796
19,9,1,726559,1211,0.001666761
19,9,2,753987,717,0.000950945
19,10,1,823045,1954,0.002374111
19,10,2,854492,1178,0.001378597
19,11,1,871634,3226,0.003701095
19,11,2,903054,1839,0.002036423
19,12,1,868042,4790,0.005518166
19,12,2,897364,2805,0.003125822
19,13,1,775380,6427,0.008288839
19,13,2,802953,3923,0.004885716
19,14,1,640068,8056,0.012586163
19,14,2,670105,5247,0.007830116
19,15,1,502242,9645,0.01920389
19,15,2,540383,6849,0.012674344
19,16,1,382084,11749,0.030749783
19,16,2,443857,9242,0.020822022
19,17,1,289913,14544,0.050166774
19,17,2,376452,13200,0.035064231
19,18,1,195178,16117,0.082575905
19,18,2,299439,17734,0.059224082
20,1,2,606221,4230,0.006977653
20,1,1,633956,5182,0.008174069
20,4,2,3250199,406,0.000124915
20,4,1,3390587,649,0.000191412
20,2,2,2421418,612,0.000252744
20,2,1,2518371,742,0.000294635
20,3,2,3085862,355,0.000115041
20,3,1,3208766,469,0.000146162
20,5,2,3235011,1028,0.000317773
20,5,1,3396070,2935,0.000864234
20,6,2,3106160,1471,0.000473575
20,6,1,3183003,5295,0.001663523
20,7,1,3137013,5144,0.001639776
20,7,2,3243458,1846,0.000569146
20,8,1,3176436,5287,0.001664444
20,8,2,3360872,2560,0.000761707
20,9,1,3360664,7166,0.002132317
20,9,2,3595511,4103,0.001141145
20,10,1,3576012,10364,0.002898201
20,10,2,3843778,6550,0.001704053
20,11,1,3568694,15191,0.004256739
20,11,2,3852977,9842,0.002554388
20,12,1,3343880,20921,0.006256504
20,12,2,3646222,13640,0.003740858
20,13,1,2846909,25402,0.00892266
20,13,2,3128654,16993,0.005431409
20,14,1,2230425,29304,0.013138303
20,14,2,2493761,20354,0.008161969
20,15,1,1665157,32549,0.019547106
20,15,2,1929718,24928,0.01291795
